Date,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20
2000-01-03,6.300145725442304,6.57972577836908,6.805882221136884,7.018287149525795,7.02815490247205,7.1197481048543265,7.163734065587419,7.230232306339591,7.184040771384604,7.195232452591336,7.205515438407312,7.265000000000001,7.235150036101373,7.25949544083402,7.2781177401018615,7.358091732344507,7.354708215307848,7.396913582654327,7.4272651286907,7.506267897034093
2000-01-04,6.2751712914193005,6.532366948079134,6.76340330859444,6.963486593567689,6.973893922017153,7.06536582738769,7.1097656570886425,7.180379010928371,7.133714355266377,7.14537183208468,7.155974627229504,7.210109088588915,7.180000000000007,7.2047553780214395,7.223724650999307,7.303604677041978,7.299734245258191,7.342447633068648,7.372636352208114,7.452905762199514
2000-01-05,6.294547650044919,6.5825417188215285,6.8209568117392445,7.014204018588235,7.0301293667732185,7.126493562875815,7.175916412904396,7.250987427010469,7.2136864293149,7.225527140906833,7.241705622772855,7.300245056936335,7.269864532444471,7.295000000000002,7.319283957642003,7.404036916319465,7.399817290760388,7.442871402021864,7.477670604591681,7.564384895194903
2000-01-06,6.2925582648853995,6.563636037266996,6.792313299089313,6.974440972629656,6.9908547130063905,7.087532933048605,7.142152368711345,7.215722591771618,7.173301315980998,7.185680287135304,7.202298924978858,7.260325090443684,7.229766399542352,7.255226636671402,7.275000000000006,7.359521483641856,7.354866746668401,7.398412294098985,7.433124431052007,7.52109612265333
2000-01-07,6.276059759919646,6.525950742313559,6.753565780403786,6.918970323123977,6.9371095855467475,7.032297025179298,7.077964358333948,7.156075585610708,7.11299265826601,7.125815956429718,7.142906623128382,7.2003864332823095,7.16967703087327,7.195442767270472,7.215701368649209,7.299999999999997,7.294924841478232,7.338949069526855,7.373583041883619,7.4628329048374455
2000-01-10,6.301285696770208,6.564579334716108,6.798349127978781,6.972531059028816,6.9936261118686645,7.0852023576674865,7.140534743183468,7.205623305599994,7.167985831861748,7.180657819329114,7.194592718832987,7.250553733566166,7.2192724453073325,7.240876026506104,7.262960167463589,7.3462753982826605,7.34020368514206,7.385513481793501,7.420000000000002,7.5131750823895755
2000-01-11,6.352120188814223,6.640863735421809,6.888451562730262,7.068484202136702,7.0900013091168,7.185972628477501,7.24252742968499,7.3160840064955766,7.278156784377219,7.296016439543169,7.310178702209722,7.365477061316201,7.334478337983437,7.361214026464926,7.383702265642883,7.466669539624452,7.460303974087842,7.506081243345117,7.545540085872437,7.640000000000001
2000-01-12,6.369916044125408,6.664289396701606,6.91050320985638,7.0915402955887705,7.12633501204687,7.215958126566217,7.273747516219504,7.345996576170429,7.3079689510719925,7.3265299890845865,7.346107235036906,7.400388996761871,7.3694078158044665,7.3966488816290745,7.42470294945478,7.506933524295734,7.50059466244247,7.551716388871655,7.5910503669174,7.686803512743426
2000-01-13,6.347149090895608,6.6238055056486775,6.854829418565528,7.020621010439276,7.051234476415507,7.1364091906340175,7.194257920591534,7.260502275078454,7.223005636418956,7.241603477486796,7.261798203228991,7.315320243832229,7.284410158663522,7.311852415888427,7.340548248506777,7.422248041163102,7.415787254619119,7.467273107376774,7.506585917578908,7.603628553533248
2000-01-14,6.354592295850439,6.6430678270585215,6.878578239295923,7.055521135940798,7.103540470309595,7.1866900887778815,7.245210549595699,7.310985523085832,7.278336244171902,7.296600178564386,7.317518880690373,7.370226603750246,7.3394294965587275,7.367048650819985,7.396409839568658,7.4775396158178005,7.4709968379803415,7.522822389122368,7.56212859584379,7.6604752835580365
2000-01-18,6.373384529425307,6.659186851830582,6.903063585448001,7.085497322762966,7.139451857439906,7.229432285290215,7.2910600620812716,7.36111150762023,7.328999103909228,7.352173081642372,7.376036867728229,7.429972650980004,7.39999388984279,7.433702407541914,7.470233157994128,7.548455403775972,7.541921602004144,7.595255760111182,7.6397853430043465,7.74245894032842
2000-01-19,6.365041571815506,6.651524487008058,6.887647360147049,7.061485514607291,7.121567168163502,7.20844648092224,7.268032111375383,7.340577578620291,7.303482905649025,7.327450325848908,7.35160055853067,7.405519931189942,7.380488647659566,7.413883670445055,7.451061909603393,7.529136631186058,7.527513527649752,7.580724996129485,7.6254591214050995,7.729226319161035
2000-01-20,6.35765717806853,6.6415957724777615,6.8870754889780255,7.064792198469947,7.134185849427662,7.226280077510648,7.295417480825622,7.364122352200746,7.323174372088927,7.347624357818994,7.372369749273988,7.425385033453709,7.400653697367539,7.434077966603563,7.472136677994358,7.548903932276508,7.542117682160734,7.590626674257723,7.6307305887446,7.736626883454814
2000-01-21,6.340821139462026,6.628310773692514,6.878049462078324,7.044457387128974,7.115559077086334,7.2071375694300475,7.27535437587945,7.339329352816712,7.30392533086126,7.327305399041613,7.354081898466713,7.410648629493916,7.385715844389604,7.419328684034381,7.458100948157354,7.534058821019814,7.527390410521226,7.576104131217049,7.616345805073425,7.72357974722597
2000-01-24,6.336217797261161,6.608480870840608,6.846973567589715,7.001644589469063,7.072204111992025,7.1497846555300955,7.203940931034327,7.252188172756233,7.219644456770403,7.242350775196842,7.271758124699538,7.325041826052794,7.301549446973236,7.33404371773218,7.370870790433994,7.443715706514508,7.433013726619713,7.482066707574427,7.517483203119487,7.630985319635835
2000-01-25,6.346462850358767,6.614898129522086,6.858440359502529,7.0154258470561315,7.077181464105573,7.1547141699750725,7.213170575523193,7.265327946767813,7.223523811835171,7.247725006690502,7.2775680247645775,7.329842961657877,7.306807375738021,7.3390859757565465,7.377266431180825,7.447323089624267,7.426749097011662,7.472277007066442,7.5082108774342045,7.622853225494907
